"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Manchester City";38;28;5;5;94;33;89;84.32;34.21;83.04
2;"Arsenal";38;26;6;6;88;43;84;76.51;45.16;72.53
3;"Manchester United";38;23;6;9;58;43;75;71.9;50.29;66.4
4;"Newcastle United";38;19;14;5;68;33;71;76.98;41.86;71.67
5;"Liverpool";38;19;10;9;75;47;67;80.77;55.77;67.37
6;"Brighton";38;18;8;12;72;53;62;77.72;50.15;70.86
7;"Aston Villa";38;18;7;13;51;46;61;50;53.96;54.37
8;"Tottenham";38;18;6;14;70;63;60;57.83;51.66;57.6
9;"Brentford";38;15;14;9;58;46;59;59.23;51.45;58.26
10;"Fulham";38;15;7;16;55;53;52;47.98;71.49;39.24
11;"Crystal Palace";38;11;12;15;40;49;45;40.72;51.63;44.24
12;"Chelsea";38;11;11;16;38;47;44;51.89;54.02;52.28
13;"Wolverhampton Wanderers";38;11;8;19;31;58;41;35.13;62.68;35.01
14;"West Ham";38;11;7;20;42;55;40;51.21;55.31;51.62
15;"Bournemouth";38;11;6;21;37;71;39;40.08;67.6;34.73
16;"Nottingham Forest";38;9;11;18;38;68;38;39.57;68.46;35.05
17;"Everton";38;8;12;18;34;57;36;48.65;68.58;40.71
18;"Leicester";38;9;7;22;51;68;34;48.99;59.79;45.07
19;"Leeds";38;7;10;21;48;78;31;47.8;69.58;40.58
20;"Southampton";38;6;7;25;36;73;25;39.27;62.9;36.47
