"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Arsenal";4;4;0;0;8;1;12;8.17;3.34;9.11
2;"Manchester City";4;4;0;0;8;2;12;8.37;4.07;8.46
3;"Leeds";4;2;2;0;7;3;8;6.14;5.28;5.94
4;"Hull";4;2;2;0;5;2;8;4.57;5.81;4.33
5;"Brighton";4;2;1;1;13;5;7;10.78;7.39;7.15
6;"Chelsea";4;2;1;1;10;9;7;8.06;7.82;5.79
7;"Brentford";4;1;3;0;7;4;6;8.04;6.61;5.87
8;"Liverpool";4;1;3;0;6;4;6;6.95;5.99;6.3
9;"Everton";4;1;3;0;5;3;6;5.77;6.1;5.29
10;"Ipswich";4;2;0;2;7;10;6;6.02;7.73;5.21
11;"Nottingham Forest";4;1;2;1;4;4;5;7.16;4.32;7.29
12;"Newcastle United";4;1;2;1;7;8;5;4.17;8.18;2.72
13;"Manchester United";4;1;1;2;7;7;4;8.46;5.5;6.68
14;"Sunderland";4;1;1;2;3;5;4;6.96;6.18;6.05
15;"Bournemouth";4;0;3;1;6;7;3;7.15;5.7;6.71
16;"Crystal Palace";4;1;0;3;6;11;3;6.46;8.93;4.03
17;"Tottenham";4;0;2;2;0;5;2;4.1;7.48;4.09
18;"Fulham";4;0;1;3;4;7;1;6.25;8.3;3.95
19;"Aston Villa";4;0;1;3;1;7;1;3.28;9.13;2.6
20;"Coventry";4;0;0;4;0;10;0;4.28;7.27;3.71
