"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Manchester City";38;27;5;6;83;32;86;77.72;30.61;83.38
2;"Manchester United";38;21;11;6;73;44;74;63.17;41.92;65.64
3;"Liverpool";38;20;9;9;68;42;69;72.21;47.3;68.8
4;"Chelsea";38;19;10;9;58;36;67;68.66;30.9;77.41
5;"Leicester";38;20;6;12;68;50;66;58.8;47.07;59.75
6;"West Ham";38;19;8;11;62;47;65;60.34;49.86;59.18
7;"Tottenham";38;18;8;12;68;45;62;56.68;52.55;53.98
8;"Arsenal";38;18;7;13;55;39;61;52.25;43.23;58.72
9;"Leeds";38;18;5;15;62;54;59;59.26;63.02;51.81
10;"Everton";38;17;8;13;47;48;59;49.24;50.16;50.72
11;"Aston Villa";38;16;7;15;55;46;55;56.72;53.25;54.06
12;"Newcastle United";38;12;9;17;46;62;45;43.96;60.02;42.65
13;"Wolverhampton Wanderers";38;12;9;17;36;52;45;38.62;52.19;44.26
14;"Crystal Palace";38;12;8;18;41;66;44;35.29;61.9;37.95
15;"Southampton";38;12;7;19;47;68;43;45.28;58.55;44.17
16;"Brighton";38;9;14;15;40;46;41;53.82;39.91;61.41
17;"Burnley";38;10;9;19;33;55;39;38.13;59.06;38.1
18;"Fulham";38;5;13;20;27;53;28;41.06;57.64;42.42
19;"West Bromwich Albion";38;5;11;22;35;76;26;34.97;74.04;29.59
20;"Sheffield United";38;7;2;29;20;63;23;33.16;66.11;29.92
