"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Manchester City";38;32;2;4;95;23;98;93.72;25.73;90.64
2;"Liverpool";38;30;7;1;89;22;97;79.46;29.15;83.45
3;"Chelsea";38;21;9;8;63;39;72;63.97;38.11;71.45
4;"Tottenham";38;23;2;13;67;39;71;61.75;49.15;61.44
5;"Arsenal";38;21;7;10;73;51;70;64.8;57.3;58.97
6;"Manchester United";38;19;9;10;65;54;66;68.62;52.3;61.86
7;"Wolverhampton Wanderers";38;16;9;13;47;46;57;53.06;42.69;59.91
8;"Everton";38;15;9;14;54;46;54;53.87;49.31;55.54
9;"Leicester";38;15;7;16;51;48;52;52.11;44.64;56.24
10;"West Ham";38;15;7;16;52;55;52;47.96;65.66;43.72
11;"Watford";38;14;8;16;52;59;50;51.73;63.29;46
12;"Crystal Palace";38;14;7;17;51;53;49;50.64;52.8;51.93
13;"Newcastle United";38;12;9;17;42;48;45;39.91;57.55;39.22
14;"Bournemouth";38;13;6;19;56;70;45;58.81;62.42;51.49
15;"Burnley";38;11;7;20;45;68;40;44.74;66.12;42
16;"Southampton";38;9;12;17;45;65;39;49.67;59.27;45.11
17;"Brighton";38;9;9;20;35;60;36;37.03;62.46;36.19
18;"Cardiff";38;10;4;24;34;69;34;41.77;66.5;37.45
19;"Fulham";38;7;5;26;34;81;26;42.62;73.59;33.6
20;"Huddersfield";38;3;7;28;22;76;16;29;67.19;29.61
