"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Manchester City";38;32;4;2;106;27;100;91.43;24.51;91.09
2;"Manchester United";38;25;6;7;68;28;81;59.04;43.54;62.33
3;"Tottenham";38;23;8;7;74;36;77;68.91;35.86;76.02
4;"Liverpool";38;21;12;5;84;38;75;77.49;35.75;79.38
5;"Chelsea";38;21;7;10;62;38;70;59.16;34.03;68.46
6;"Arsenal";38;19;6;13;74;51;63;72.27;48.75;65.9
7;"Burnley";38;14;12;12;36;39;54;32.77;52.16;41
8;"Everton";38;13;10;15;44;58;49;43.71;55.5;47
9;"Leicester";38;12;11;15;56;60;47;50.29;49.36;55.85
10;"Newcastle United";38;12;8;18;39;47;44;44.63;52.47;46.24
11;"Crystal Palace";38;11;11;16;45;55;44;56.75;53.54;58.03
12;"Bournemouth";38;11;11;16;45;61;44;39.99;64.93;37.64
13;"West Ham";38;10;12;16;48;68;42;36.8;58.37;39.26
14;"Watford";38;11;8;19;44;64;41;45.85;53.98;46.69
15;"Brighton";38;9;13;16;34;54;40;37.21;53.08;40.85
16;"Huddersfield";38;9;10;19;28;58;37;32.13;53.22;36.84
17;"Southampton";38;7;15;16;37;56;36;41.88;46.56;48.72
18;"Swansea";38;8;9;21;28;56;33;29.71;61.83;32.31
19;"Stoke";38;7;12;19;35;68;33;36.75;65.54;36.17
20;"West Bromwich Albion";38;6;13;19;31;56;31;35.18;48.99;42.96
