"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Arsenal";38;26;7;5;71;27;85;77.49;33.13;79.87
2;"Manchester City";38;23;9;6;77;35;78;79.36;46.49;73.95
3;"Manchester United";38;20;11;7;69;50;71;72.19;50.28;64.45
4;"Aston Villa";38;19;8;11;56;49;65;56.2;56.68;51.07
5;"Liverpool";38;17;9;12;63;53;60;67.26;53.87;61.54
6;"Bournemouth";38;13;18;7;58;54;57;66.83;56.77;60.33
7;"Sunderland";38;14;12;12;42;48;54;43.14;60.34;42.03
8;"Brighton";38;14;11;13;52;46;53;58.42;53.75;55.35
9;"Brentford";38;14;11;13;55;52;53;66.26;59.11;57.24
10;"Chelsea";38;14;10;14;58;52;52;72.21;58.12;58.85
11;"Fulham";38;15;7;16;47;51;52;49.58;60.84;45.08
12;"Newcastle United";38;14;7;17;53;55;49;60.61;57.31;54.83
13;"Everton";38;13;10;15;47;50;49;49.87;59.99;46.17
14;"Leeds";38;11;14;13;49;56;47;59.77;56.33;56.5
15;"Crystal Palace";38;11;12;15;41;51;45;62.46;60.05;53.88
16;"Nottingham Forest";38;11;11;16;48;51;44;48.94;64.74;42.24
17;"Tottenham";38;10;11;17;48;57;41;46.8;55.59;49.25
18;"West Ham";38;10;9;19;46;65;39;49.64;68.12;43.49
19;"Burnley";38;4;10;24;38;75;22;36.94;82.58;24.31
20;"Wolverhampton Wanderers";38;3;11;24;27;68;20;38.44;68.3;35.44
