Season,Team,Matches_Played,Wins,Draws,Losses,Points,Goals_Scored,Goals_Conceded,Goal_Difference,Shots,Shots_On_Target,Fouls,Corners,Yellow_Cards,Red_Cards,xG_Per_Match,xGA_Per_Match,xG_Difference_Per_Match,Shots_Per_Match,Shots_On_Target_Per_Match,Fouls_Per_Match,Yellow_Cards_Per_Match,Red_Cards_Per_Match,Shot_Conversion_Percentage,Points_Per_Match
2016/17,Chelsea,38,30,3,5,93,85,33,52,580,204,394,218,72,0,1.6263157894736842,0.7531578947368421,0.873157894736842,15.263157894736842,5.368421052631579,10.368421052631579,1.894736842105263,0.0,14.655172413793101,2.4473684210526314
2016/17,Tottenham,38,26,8,4,86,86,26,60,669,257,432,273,62,0,1.8439473684210526,0.8889473684210527,0.9549999999999998,17.605263157894736,6.7631578947368425,11.368421052631579,1.631578947368421,0.0,12.855007473841553,2.263157894736842
2016/17,Man City,38,23,9,6,78,80,39,41,633,217,395,280,71,4,2.1013157894736842,0.7792105263157895,1.3221052631578947,16.657894736842106,5.7105263157894735,10.394736842105264,1.868421052631579,0.10526315789473684,12.63823064770932,2.0526315789473686
2016/17,Liverpool,38,22,10,6,76,78,42,36,638,236,397,249,54,0,1.7534210526315788,0.9907894736842104,0.7626315789473683,16.789473684210527,6.2105263157894735,10.447368421052632,1.4210526315789473,0.0,12.225705329153605,2.0
2016/17,Arsenal,38,23,6,9,75,77,44,33,565,200,397,227,67,3,1.673157894736842,1.2386842105263158,0.4344736842105261,14.868421052631579,5.2631578947368425,10.447368421052632,1.763157894736842,0.07894736842105263,13.628318584070797,1.9736842105263157
2016/17,Man United,38,18,15,5,69,54,29,25,589,210,497,217,76,2,1.515,0.8321052631578948,0.6828947368421051,15.5,5.526315789473684,13.078947368421053,2.0,0.05263157894736842,9.168081494057725,1.8157894736842106
2016/17,Everton,38,17,10,11,61,62,44,18,498,192,459,196,71,2,1.3060526315789474,1.204736842105263,0.10131578947368425,13.105263157894736,5.052631578947368,12.078947368421053,1.868421052631579,0.05263157894736842,12.449799196787147,1.605263157894737
2016/17,Bournemouth,38,12,10,16,46,55,67,-12,446,160,366,191,51,3,1.3163157894736843,1.6576315789473686,-0.34131578947368424,11.736842105263158,4.2105263157894735,9.631578947368421,1.3421052631578947,0.07894736842105263,12.331838565022421,1.2105263157894737
2016/17,Southampton,38,12,10,16,46,41,48,-7,548,179,424,200,58,2,1.3152631578947367,1.1336842105263158,0.18157894736842084,14.421052631578947,4.7105263157894735,11.157894736842104,1.5263157894736843,0.05263157894736842,7.481751824817519,1.2105263157894737
2016/17,West Brom,38,12,9,17,45,43,51,-8,400,123,449,158,80,0,1.0055263157894736,1.2605263157894737,-0.2550000000000001,10.526315789473685,3.236842105263158,11.81578947368421,2.1052631578947367,0.0,10.75,1.1842105263157894
2016/17,West Ham,38,12,9,17,45,47,64,-17,496,138,408,172,77,5,1.269736842105263,1.5702631578947368,-0.30052631578947375,13.052631578947368,3.6315789473684212,10.736842105263158,2.026315789473684,0.13157894736842105,9.475806451612904,1.1842105263157894
2016/17,Leicester,38,12,8,18,44,48,63,-15,432,145,451,197,71,1,1.166842105263158,1.3499999999999999,-0.18315789473684196,11.368421052631579,3.8157894736842106,11.868421052631579,1.868421052631579,0.02631578947368421,11.11111111111111,1.1578947368421053
2016/17,Stoke,38,11,11,16,44,41,56,-15,426,137,434,188,70,2,1.259736842105263,1.2807894736842105,-0.021052631578947434,11.210526315789474,3.6052631578947367,11.421052631578947,1.8421052631578947,0.05263157894736842,9.624413145539906,1.1578947368421053
2016/17,Crystal Palace,38,12,5,21,41,50,63,-13,438,138,469,202,77,0,1.194736842105263,1.316578947368421,-0.12184210526315797,11.526315789473685,3.6315789473684212,12.342105263157896,2.026315789473684,0.0,11.415525114155251,1.0789473684210527
2016/17,Swansea,38,12,5,21,41,45,70,-25,390,146,401,196,56,0,1.0394736842105263,1.7139473684210524,-0.6744736842105261,10.263157894736842,3.8421052631578947,10.552631578947368,1.4736842105263157,0.0,11.538461538461538,1.0789473684210527
2016/17,Burnley,38,11,7,20,40,39,55,-16,390,120,426,149,65,2,0.9365789473684212,1.4544736842105264,-0.5178947368421052,10.263157894736842,3.1578947368421053,11.210526315789474,1.7105263157894737,0.05263157894736842,10.0,1.0526315789473684
2016/17,Watford,38,11,7,20,40,40,68,-28,419,144,517,164,83,5,0.9539473684210527,1.384736842105263,-0.4307894736842104,11.026315789473685,3.789473684210526,13.605263157894736,2.1842105263157894,0.13157894736842105,9.54653937947494,1.0526315789473684
2016/17,Hull,38,9,7,22,34,37,80,-43,396,127,403,179,67,5,0.8905263157894737,1.8886842105263157,-0.998157894736842,10.421052631578947,3.3421052631578947,10.605263157894736,1.763157894736842,0.13157894736842105,9.343434343434344,0.8947368421052632
2016/17,Middlesbrough,38,5,13,20,28,27,53,-26,349,100,478,141,76,1,0.8139473684210526,1.4552631578947368,-0.6413157894736842,9.18421052631579,2.6315789473684212,12.578947368421053,2.0,0.02631578947368421,7.736389684813753,0.7368421052631579
2016/17,Sunderland,38,6,6,26,24,29,69,-40,387,121,437,160,76,4,0.9005263157894736,1.7278947368421052,-0.8273684210526315,10.18421052631579,3.1842105263157894,11.5,2.0,0.10526315789473684,7.493540051679587,0.631578947368421
2017/18,Man City,38,32,4,2,100,106,27,79,664,261,344,284,58,2,2.4060526315789477,0.645,1.7610526315789476,17.473684210526315,6.868421052631579,9.052631578947368,1.5263157894736843,0.05263157894736842,15.963855421686745,2.6315789473684212
2017/18,Man United,38,25,6,7,81,68,28,40,513,181,404,220,64,1,1.5536842105263158,1.1457894736842105,0.4078947368421053,13.5,4.7631578947368425,10.631578947368421,1.6842105263157894,0.02631578947368421,13.255360623781677,2.1315789473684212
